Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
false,0.30574870237978663,BOOKKEEPER,0.35443037974683544,21.0,30.0,IBk,5.0,0.3327338129496403,0.6969838223197148,BestFirst,false,0.9082733812949639,0.3181818181818182,0.05758157389635317,0.09625390218522373,491.0,0.4,0.7756255044390638,14.0,0.4,6.0
false,0.48553803975325516,BOOKKEEPER,0.509090909090909,21.0,6.0,RandomForest,5.0,0.3327338129496403,0.9343295859610639,BestFirst,false,0.9514388489208634,0.7,0.011516314779270634,0.09625390218522373,515.0,0.4,0.7756255044390638,14.0,0.4,6.0
false,-0.009061643018959857,BOOKKEEPER,0.0,19.0,2.0,NaiveBayes,2.0,0.20347394540942929,0.6689281798245614,BestFirst,false,0.9478908188585607,0.0,0.005208333333333333,0.16837782340862423,382.0,0.0,0.547191011235955,0.0,0.0,3.0
false,0.029077012544654002,BOOKKEEPER,0.06451612903225808,18.0,11.0,IBk,2.0,0.20347394540942929,0.4245476973684211,BestFirst,false,0.9280397022332507,0.08333333333333333,0.028645833333333332,0.16837782340862423,373.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.058698080633695075,BOOKKEEPER,0.08,18.0,5.0,RandomForest,2.0,0.20347394540942929,0.5639391447368421,BestFirst,false,0.9429280397022333,0.16666666666666666,0.013020833333333334,0.16837782340862423,379.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.22432581177765537,BOOKKEEPER,0.27027027027027023,6.0,21.0,NaiveBayes,1.0,0.2720306513409962,0.6561818181818182,BestFirst,false,0.896551724137931,0.19230769230769232,0.084,0.31555555555555553,229.0,0.45454545454545453,0.46296296296296297,5.0,0.45454545454545453,2.0
false,0.12650602409638526,BOOKKEEPER,0.1891891891891892,4.0,56.0,IBk,1.0,0.2720306513409962,0.704,BestFirst,false,0.7701149425287356,0.1111111111111111,0.224,0.31555555555555553,194.0,0.6363636363636364,0.46296296296296297,7.0,0.6363636363636364,2.0
false,0.022227772227772134,BOOKKEEPER,0.0909090909090909,8.0,52.0,RandomForest,1.0,0.2720306513409962,0.5489090909090909,BestFirst,false,0.7701149425287356,0.05454545454545454,0.208,0.31555555555555553,198.0,0.2727272727272727,0.46296296296296297,3.0,0.2727272727272727,2.0
false,0.0,BOOKKEEPER,NaN,40.0,0.0,NaiveBayes,4.0,0.2774566473988439,0.704749478079332,BestFirst,false,0.9229287090558767,NaN,0.0,0.10271041369472182,479.0,0.0,0.7298282144716294,0.0,0.0,5.0
false,0.17006187860668864,BOOKKEEPER,0.24175824175824176,29.0,40.0,IBk,4.0,0.2774566473988439,0.6100469728601252,BestFirst,false,0.8670520231213872,0.21568627450980393,0.08350730688935282,0.10271041369472182,439.0,0.275,0.7298282144716294,11.0,0.275,5.0
false,0.23022412656559052,BOOKKEEPER,0.24999999999999997,34.0,2.0,RandomForest,4.0,0.2774566473988439,0.885490605427975,BestFirst,false,0.930635838150289,0.75,0.0041753653444676405,0.10271041369472182,477.0,0.15,0.7298282144716294,6.0,0.15,5.0
UnderSampling,0.0464077226624923,BOOKKEEPER,0.18483412322274878,2.0,342.0,NaiveBayes,3.0,0.2,0.7112954391804046,false,false,0.3254901960784313,0.10236220472440945,0.7292110874200426,0.11447811447811448,127.0,0.9512195121951219,0.6359743040685225,39.0,0.9512195121951219,4.0
UnderSampling,0.007782101167314745,BOOKKEEPER,0.06349206349206349,39.0,20.0,IBk,3.0,0.2,0.49550158614592543,false,false,0.8843137254901962,0.09090909090909091,0.042643923240938165,0.11447811447811448,449.0,0.04878048780487805,0.6359743040685225,2.0,0.04878048780487805,4.0
UnderSampling,0.07694345119851699,BOOKKEEPER,0.163265306122449,33.0,49.0,RandomForest,3.0,0.2,0.6528940662540954,false,false,0.8392156862745098,0.14035087719298245,0.1044776119402985,0.11447811447811448,420.0,0.1951219512195122,0.6359743040685225,8.0,0.1951219512195122,4.0
UnderSampling,0.10577937144062444,BOOKKEEPER,0.1643835616438356,29.0,32.0,NaiveBayes,5.0,0.3327338129496403,0.7655058952563751,false,false,0.8902877697841727,0.15789473684210525,0.061420345489443376,0.09625390218522373,489.0,0.17142857142857143,0.7756255044390638,6.0,0.17142857142857143,6.0
UnderSampling,0.11266753396060888,BOOKKEEPER,0.20973782771535582,7.0,204.0,IBk,5.0,0.3327338129496403,0.7046065259117082,false,false,0.6205035971223022,0.1206896551724138,0.3915547024952015,0.09625390218522373,317.0,0.8,0.7756255044390638,28.0,0.8,6.0
UnderSampling,0.1790853790578183,BOOKKEEPER,0.2647058823529412,8.0,142.0,RandomForest,5.0,0.3327338129496403,0.8316424458459007,false,false,0.7302158273381295,0.15976331360946747,0.272552783109405,0.09625390218522373,379.0,0.7714285714285715,0.7756255044390638,27.0,0.7714285714285715,6.0
