@relation Train-1-BOOKKEEPER

@attribute Version numeric
@attribute NR numeric
@attribute Size numeric
@attribute 'AVG LOC Added' numeric
@attribute Churn numeric
@attribute 'LOC Added' numeric
@attribute Nauth numeric
@attribute 'Weighted Age' numeric
@attribute 'AVG CHURN' numeric
@attribute 'MAX LOC Added' numeric
@attribute 'LOC TOUCHED' numeric
@attribute Age numeric
@attribute 'Max Churn' numeric
@attribute Buggyness {false,true}

@data
1,5,244,68,244,340,2,27,48,252,436,27,252,false
1,4,566,150,566,600,3,27,141,561,634,27,561,true
1,1,37,37,37,37,1,27,37,37,37,27,37,false
1,9,471,70,471,633,3,27,52,487,795,27,487,false
1,2,92,46,92,93,2,27,46,92,94,27,92,false
1,2,51,26,51,52,2,27,25,51,53,27,51,false
1,2,268,138,268,277,2,27,134,268,286,27,268,false
1,3,134,46,134,138,2,27,44,133,142,27,133,true
1,5,120,26,120,131,3,27,24,117,142,27,117,false
1,2,35,18,35,36,2,27,17,35,37,27,35,false
1,3,177,60,177,181,2,27,59,176,185,27,176,true
1,2,74,38,74,76,2,27,37,73,78,27,73,true
1,4,71,18,71,74,2,27,17,61,77,27,61,false
1,3,70,25,70,76,2,27,23,70,82,27,70,false
1,3,92,40,92,121,3,27,30,81,150,27,81,false
1,1,54,54,54,54,1,27,54,54,54,27,54,false
1,2,98,49,98,99,2,27,49,98,100,27,98,false
1,2,64,40,64,80,2,27,32,64,96,27,64,false
1,5,617,128,617,642,2,27,123,607,667,27,607,true
1,2,113,57,113,114,1,27,56,113,115,27,113,false
1,4,154,44,154,177,3,27,38,163,200,27,163,false
1,3,61,22,61,66,3,27,20,61,71,27,61,false
1,2,64,32,64,65,2,27,32,64,66,27,64,false
1,2,104,67,104,134,2,27,52,104,164,27,104,false
1,2,58,30,58,60,2,27,29,57,62,27,57,false
1,4,205,53,205,212,2,27,51,204,219,27,204,false
1,1,116,116,116,116,1,27,116,116,116,27,116,false
1,4,452,118,452,472,2,27,113,450,492,27,450,true
1,4,197,52,197,208,3,27,49,187,219,27,187,true
1,5,366,78,366,390,2,27,73,365,414,27,365,true
1,2,46,23,46,47,2,27,23,46,48,27,46,false
1,2,65,34,65,68,2,27,32,65,71,27,65,true
1,2,104,55,104,111,2,27,52,104,118,27,104,false
1,2,162,81,162,163,2,27,81,162,164,27,162,true
1,2,76,39,76,78,2,27,38,76,80,27,76,false
1,2,98,51,98,102,2,27,49,98,106,27,98,false
1,2,149,76,149,152,2,27,74,149,155,27,149,true
1,1,138,138,138,138,1,27,138,138,138,27,138,true
1,6,234,73,234,438,3,27,39,209,642,27,209,true
1,3,154,55,154,165,2,27,51,153,176,27,153,false
1,3,149,50,149,152,2,27,49,148,155,27,148,false
1,2,77,39,77,79,2,27,38,77,81,27,77,false
1,2,39,20,39,40,2,27,19,39,41,27,39,false
1,6,92,139,92,834,3,27,15,763,1576,27,763,false
1,4,154,40,154,162,3,27,38,75,170,27,75,true
1,2,129,65,129,131,2,27,64,129,133,27,129,false
1,1,51,51,51,51,1,27,51,51,51,27,51,false
1,4,222,57,222,230,2,27,55,221,238,27,221,true
1,4,173,48,173,193,3,27,43,170,213,27,170,true
1,2,75,40,75,81,2,27,37,75,87,27,75,true
1,2,105,53,105,106,1,27,52,61,107,27,61,false
1,3,427,146,427,439,2,27,142,426,451,27,426,true
1,2,206,111,206,223,2,27,103,206,240,27,206,false
1,2,32,17,32,35,2,27,16,31,38,27,31,true
1,6,336,69,336,414,3,27,56,329,492,27,329,true
1,2,38,21,38,43,2,27,19,38,48,27,38,false
1,8,168,23,168,186,3,27,21,126,204,27,126,true
1,1,111,111,111,111,1,27,111,111,111,27,111,false
1,1,45,45,45,45,1,27,45,45,45,27,45,false
1,3,93,33,93,101,2,27,31,93,109,27,93,true
1,2,91,48,91,96,2,27,45,91,101,27,91,false
1,3,737,295,737,886,2,27,245,736,1035,27,736,true
1,2,289,145,289,290,2,27,144,289,291,27,289,true
1,3,58,21,58,63,2,27,19,58,68,27,58,false
1,3,101,50,101,151,2,27,33,100,201,27,100,false
1,3,261,97,261,291,1,27,87,246,321,27,246,true
1,3,94,32,94,97,2,27,31,93,100,27,93,false
1,4,377,99,377,397,2,27,94,377,417,27,377,false
1,1,35,35,35,35,1,27,35,35,35,27,35,true
1,4,81,23,81,92,3,27,20,80,103,27,80,false
1,1,261,261,261,261,1,27,261,261,261,27,261,false
1,8,533,69,533,556,3,27,67,521,579,27,521,false
1,2,74,39,74,78,2,27,37,74,82,27,74,false
1,2,62,32,62,64,2,27,31,61,66,27,61,true
1,6,188,34,188,203,3,27,31,178,218,27,178,false
1,1,90,90,90,90,1,27,90,90,90,27,90,false
1,9,169,26,169,232,3,27,19,140,295,27,140,true
1,1,193,193,193,193,1,27,193,193,193,27,193,false
1,5,185,41,185,207,3,27,37,184,229,27,184,false
1,1,55,55,55,55,1,27,55,55,55,27,55,false
1,4,165,45,165,182,3,27,41,138,199,27,138,true
1,4,271,70,271,280,3,27,67,249,289,27,249,true
1,1,136,136,136,136,1,27,136,136,136,27,136,false
1,9,548,116,548,1040,3,27,61,410,1532,27,410,false
1,2,112,57,112,114,2,27,56,112,116,27,112,false
1,4,216,56,216,224,2,27,54,216,232,27,216,false
1,2,64,33,64,66,2,27,32,64,68,27,64,false
1,1,41,41,41,41,1,27,41,41,41,27,41,false
1,3,345,116,345,348,1,27,115,343,351,27,343,true
1,4,71,19,71,78,2,27,17,70,85,27,70,false
1,5,149,33,149,168,3,27,29,133,187,27,133,true
1,1,147,147,147,147,1,27,147,147,147,27,147,false
1,3,92,33,92,99,3,27,30,90,106,27,90,false
1,2,104,55,104,111,2,27,52,104,118,27,104,true
1,2,36,20,36,41,2,27,18,36,46,27,36,true
1,6,196,37,196,224,3,27,32,178,252,27,178,true
1,11,393,45,393,489,3,27,36,209,585,27,209,true
1,3,75,27,75,83,2,27,25,74,91,27,74,true
1,4,183,50,183,202,2,27,45,180,221,27,180,true
1,1,144,144,144,144,1,27,144,144,144,27,144,false
1,5,105,29,105,148,3,27,21,103,191,27,103,false
1,1,27,27,27,27,1,27,27,27,27,27,27,false
1,3,157,54,157,164,3,27,52,151,171,27,151,false
1,1,72,72,72,72,1,27,72,72,72,27,72,false
1,6,385,66,385,400,3,27,64,364,415,27,364,true
1,7,181,29,181,203,3,27,26,178,225,27,178,true
1,3,69,32,69,98,3,27,23,94,127,27,94,false
1,2,57,30,57,61,2,27,28,57,65,27,57,false
1,4,160,41,160,167,2,27,40,159,174,27,159,true
1,8,157,26,157,210,3,27,20,167,263,27,167,false
1,3,174,61,174,184,2,27,58,173,194,27,173,false
1,4,84,23,84,93,2,27,21,83,102,27,83,false
1,1,57,57,57,57,1,27,57,57,57,27,57,false
1,2,38,20,38,40,2,27,19,38,42,27,38,false
1,1,206,206,206,206,1,27,206,206,206,27,206,false
1,3,133,46,133,139,2,27,44,133,145,27,133,true
1,2,64,32,64,65,2,27,32,64,66,27,64,true
1,2,29,15,29,30,2,27,14,29,31,27,29,true
1,3,693,243,693,731,2,27,231,692,769,27,692,true
1,2,27,14,27,28,2,27,13,27,29,27,27,false
