Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
false,0.16928273395589138,OPENJPA,0.19565217391304346,68.0,6.0,NaiveBayes,3.0,0.10998735777496839,0.7005256648113791,false,false,0.9064475347661188,0.6,0.008403361344537815,0.040110650069156296,708.0,0.11688311688311688,0.7327702702702703,9.0,0.11688311688311688,4.0
false,0.2064183482976265,OPENJPA,0.2476190476190476,64.0,15.0,IBk,3.0,0.10998735777496839,0.5884080905089308,false,false,0.9001264222503161,0.4642857142857143,0.02100840336134454,0.040110650069156296,699.0,0.16883116883116883,0.7327702702702703,13.0,0.16883116883116883,4.0
false,0.10451916898693472,OPENJPA,0.11904761904761903,72.0,2.0,RandomForest,3.0,0.10998735777496839,0.796800538397177,false,false,0.9064475347661188,0.7142857142857143,0.0028011204481792717,0.040110650069156296,712.0,0.06493506493506493,0.7327702702702703,5.0,0.06493506493506493,4.0
false,0.1297311167726676,OPENJPA,0.19672131147540986,145.0,100.0,NaiveBayes,12.0,1.9107327141382868,0.5188736731221133,false,false,0.8735810113519092,0.23076923076923078,0.05672149744753262,0.27938735476082693,1663.0,0.17142857142857143,0.8724328593996841,30.0,0.17142857142857143,13.0
false,0.0980962291300955,OPENJPA,0.2163009404388715,106.0,394.0,IBk,12.0,1.9107327141382868,0.5742014423466494,false,false,0.7420020639834881,0.1490280777537797,0.2234826999432785,0.27938735476082693,1369.0,0.3942857142857143,0.8724328593996841,69.0,0.3942857142857143,13.0
false,0.2866460477706004,OPENJPA,0.3223140495867769,136.0,28.0,RandomForest,12.0,1.9107327141382868,0.7397763552386355,false,false,0.9153766769865841,0.582089552238806,0.01588201928530913,0.27938735476082693,1735.0,0.22285714285714286,0.8724328593996841,39.0,0.22285714285714286,13.0
false,0.25609245456829305,OPENJPA,0.2702702702702703,24.0,3.0,NaiveBayes,1.0,0.019756838905775075,0.6641083273943315,false,false,0.958966565349544,0.625,0.0047694753577106515,0.015587529976019185,626.0,0.1724137931034483,0.5589812332439679,5.0,0.1724137931034483,2.0
false,-0.002946854994411566,OPENJPA,0.0,29.0,1.0,IBk,1.0,0.019756838905775075,0.49920508744038156,false,false,0.9544072948328268,0.0,0.001589825119236884,0.015587529976019185,628.0,0.0,0.5589812332439679,0.0,0.0,2.0
false,0.0,OPENJPA,NaN,29.0,0.0,RandomForest,1.0,0.019756838905775075,0.7181623814483855,false,false,0.9559270516717325,NaN,0.0,0.015587529976019185,629.0,0.0,0.5589812332439679,0.0,0.0,2.0
false,0.13814305128577295,OPENJPA,0.17821782178217824,68.0,15.0,NaiveBayes,4.0,0.20838627700127066,0.7388512895555149,false,false,0.8945362134688692,0.375,0.02112676056338028,0.05538669368456602,695.0,0.11688311688311688,0.7900213447171825,9.0,0.11688311688311688,5.0
false,0.33683299551344836,OPENJPA,0.38333333333333336,54.0,20.0,IBk,4.0,0.20838627700127066,0.6885220413389428,false,false,0.905972045743329,0.5348837209302325,0.028169014084507043,0.05538669368456602,690.0,0.2987012987012987,0.7900213447171825,23.0,0.2987012987012987,5.0
false,0.1942969464502651,OPENJPA,0.2268041237113402,66.0,9.0,RandomForest,4.0,0.20838627700127066,0.8341137735503933,false,false,0.9047013977128335,0.55,0.01267605633802817,0.05538669368456602,701.0,0.14285714285714285,0.7900213447171825,11.0,0.14285714285714285,5.0
false,0.16250121228483583,OPENJPA,0.19730941704035876,154.0,25.0,NaiveBayes,15.0,2.3680672268907563,0.6286725238714052,false,false,0.899719887955182,0.46808510638297873,0.015537600994406464,0.22499600787778784,1584.0,0.125,0.9132315769006416,22.0,0.125,16.0
false,0.7031063069995614,OPENJPA,0.7278688524590164,65.0,18.0,IBk,15.0,2.3680672268907563,0.9246461664500819,false,false,0.9535014005602241,0.8604651162790697,0.011187072715972654,0.22499600787778784,1591.0,0.6306818181818182,0.9132315769006416,111.0,0.6306818181818182,16.0
false,0.7185669411664831,OPENJPA,0.7417218543046358,64.0,14.0,RandomForest,15.0,2.3680672268907563,0.9733565455675461,false,false,0.9563025210084034,0.8888888888888888,0.00870105655686762,0.22499600787778784,1595.0,0.6363636363636364,0.9132315769006416,112.0,0.6363636363636364,16.0
false,0.014237902750094771,OPENJPA,0.08210180623973726,542.0,17.0,NaiveBayes,7.0,0.75,0.6578653722766201,false,false,0.5079225352112676,0.5952380952380952,0.029876977152899824,0.1443333898017957,552.0,0.04409171075837742,0.838613439409007,25.0,0.04409171075837742,8.0
false,0.5843537309499078,OPENJPA,0.7677165354330708,177.0,59.0,IBk,7.0,0.75,0.8402190792348965,false,false,0.7922535211267606,0.8685968819599109,0.10369068541300527,0.1443333898017957,510.0,0.6878306878306878,0.838613439409007,390.0,0.6878306878306878,8.0
false,0.6055861245873181,OPENJPA,0.7956204379562043,131.0,93.0,RandomForest,7.0,0.75,0.8992802744999582,false,false,0.8028169014084507,0.8241965973534972,0.1634446397188049,0.1443333898017957,476.0,0.7689594356261023,0.838613439409007,436.0,0.7689594356261023,8.0
false,0.0193270141142059,OPENJPA,0.13028169014084506,53.0,935.0,NaiveBayes,11.0,1.7933801404212637,0.5448612241627269,false,false,0.5045135406218656,0.07333994053518335,0.500803427959293,0.31761257660538234,932.0,0.5826771653543307,0.8495434995849996,74.0,0.5826771653543307,12.0
